"brand,""model"",""Year"",""trim"",""price"",""body_type"",""doors"",""total_seating"",""wheelbase"",""cargo_capacity"",""curb_weight"",""gross_weight"",""maximum_payload"",""towing_capacity"",""engine_size"",""horsepower"",""torque"",""drive_type"",""engine_type"",""mpg"",""image"",""electric_range"",""EPA time to charge battery (at 240V) (hr)"",""battery_capacity (KWh)"""
"Acura,""Integra"",2025,""4dr Hatchback (1.5L 4cyl Turbo CVT)"",33000,""Hatchback"",5,5,107.7,24.3,3084,"""","""","""",1.5,200,192,""front wheel drive"",""gas"",33,""https://media.ed.edmunds-media.com/acura/integra/2025/oem/2025_acura_integra_4dr-hatchback_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""Integra"",2025,""4dr Hatchback w/A-Spec and Technology Packages (1.5L 4cyl Turbo CVT)"",38000,""Hatchback"",5,5,107.7,24.3,3150,"""","""","""",1.5,200,192,""front wheel drive"",""gas"",32,""https://media.ed.edmunds-media.com/acura/integra/2025/oem/2025_acura_integra_4dr-hatchback_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""Integra"",2025,""4dr Hatchback w/A-Spec Package (1.5L 4cyl Turbo CVT)"",35000,""Hatchback"",5,5,107.7,24.3,3109,"""","""","""",1.5,200,192,""front wheel drive"",""gas"",32,""https://media.ed.edmunds-media.com/acura/integra/2025/oem/2025_acura_integra_4dr-hatchback_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""Integra"",2025,""4dr Hatchback w/A-Spec and Technology Packages (1.5L 4cyl Turbo 6M)"",38000,""Hatchback"",5,5,107.7,24.3,3073,"""","""","""",1.5,200,192,""front wheel drive"",""gas"",30,""https://media.ed.edmunds-media.com/acura/integra/2025/oem/2025_acura_integra_4dr-hatchback_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""Integra"",2025,""Type S 4dr Hatchback (2.0L 4cyl Turbo 6M)"",52600,""Hatchback"",5,4,107.7,24.3,3219,"""","""","""",2,320,310,""front wheel drive"",""gas"",24,""https://media.ed.edmunds-media.com/acura/integra/2025/oem/2025_acura_integra_4dr-hatchback_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""MDX"",2025,""4dr SUV (3.5L 6cyl 10A)"",51200,""SUV"",5,7,113.8,18.1,4268,"""","""",3500,3.5,290,267,""front wheel drive"",""gas"",22,""https://www.edmunds.com/assets/m/cs/blt070845aae576123f/674f4d998eb9127c33ddf45e/2025-acura-mdx-f34.jpg"","""","""","""""
"Acura,""MDX"",2025,""4dr SUV AWD w/A-Spec and Advance Packages (3.5L 6cyl 10A)"",68300,""SUV"",5,7,113.8,18.1,4544,"""","""",5000,3.5,290,267,""all wheel drive"",""gas"",21,""https://www.edmunds.com/assets/m/cs/blt070845aae576123f/674f4d998eb9127c33ddf45e/2025-acura-mdx-f34.jpg"","""","""","""""
"Acura,""MDX"",2025,""Type S 4dr SUV AWD w/Advance Package (3.0L 6cyl Turbo 10A)"",75250,""SUV"",5,7,113.8,18.1,4776,"""","""",5000,3,355,354,""all wheel drive"",""gas"",19,""https://www.edmunds.com/assets/m/cs/blt070845aae576123f/674f4d998eb9127c33ddf45e/2025-acura-mdx-f34.jpg"","""","""","""""
"Acura,""MDX"",2025,""4dr SUV w/Technology Package (3.5L 6cyl 10A)"",56600,""SUV"",5,7,113.8,18.1,4302,"""","""",3500,3.5,290,267,""front wheel drive"",""gas"",21,""https://www.edmunds.com/assets/m/cs/blt070845aae576123f/674f4d998eb9127c33ddf45e/2025-acura-mdx-f34.jpg"","""","""","""""
"Acura,""MDX"",2025,""4dr SUV AWD w/Advance Package (3.5L 6cyl 10A)"",66300,""SUV"",5,7,113.8,18.1,4544,"""","""",5000,3.5,290,267,""all wheel drive"",""gas"",21,""https://www.edmunds.com/assets/m/cs/blt070845aae576123f/674f4d998eb9127c33ddf45e/2025-acura-mdx-f34.jpg"","""","""","""""
"Acura,""MDX"",2025,""4dr SUV AWD w/Technology Package (3.5L 6cyl 10A)"",58800,""SUV"",5,7,113.8,18.1,4544,"""","""",5000,3.5,290,267,""all wheel drive"",""gas"",21,""https://www.edmunds.com/assets/m/cs/blt070845aae576123f/674f4d998eb9127c33ddf45e/2025-acura-mdx-f34.jpg"","""","""","""""
"Acura,""MDX"",2025,""4dr SUV AWD (3.5L 6cyl 10A)"",53400,""SUV"",5,7,113.8,18.1,4510,"""","""",5000,3.5,290,267,""all wheel drive"",""gas"",21,""https://www.edmunds.com/assets/m/cs/blt070845aae576123f/674f4d998eb9127c33ddf45e/2025-acura-mdx-f34.jpg"","""","""","""""
"Acura,""MDX"",2025,""4dr SUV AWD w/A-Spec Package (3.5L 6cyl 10A)"",61800,""SUV"",5,7,113.8,18.1,4544,"""","""",5000,3.5,290,267,""all wheel drive"",""gas"",21,""https://www.edmunds.com/assets/m/cs/blt070845aae576123f/674f4d998eb9127c33ddf45e/2025-acura-mdx-f34.jpg"","""","""","""""
"Acura,""RDX"",2025,""4dr SUV AWD (2.0L 4cyl Turbo 10A)"",44700,""SUV"",5,5,108.3,29.5,4014,"""","""",1500,2,272,280,""all wheel drive"",""gas"",23,""https://media.ed.edmunds-media.com/acura/rdx/2025/oem/2025_acura_rdx_4dr-suv_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""RDX"",2025,""4dr SUV AWD w/A-Spec and Advance Packages (2.0L 4cyl Turbo 10A)"",54450,""SUV"",5,5,108.3,29.5,4058,"""","""",1500,2,272,280,""all wheel drive"",""gas"",23,""https://media.ed.edmunds-media.com/acura/rdx/2025/oem/2025_acura_rdx_4dr-suv_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""RDX"",2025,""4dr SUV AWD w/Advance Package (2.0L 4cyl Turbo 10A)"",52450,""SUV"",5,5,108.3,29.5,4040,"""","""",1500,2,272,280,""all wheel drive"",""gas"",23,""https://media.ed.edmunds-media.com/acura/rdx/2025/oem/2025_acura_rdx_4dr-suv_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""RDX"",2025,""4dr SUV AWD w/Technology Package (2.0L 4cyl Turbo 10A)"",47300,""SUV"",5,5,108.3,29.5,4040,"""","""",1500,2,272,280,""all wheel drive"",""gas"",23,""https://media.ed.edmunds-media.com/acura/rdx/2025/oem/2025_acura_rdx_4dr-suv_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""RDX"",2025,""4dr SUV AWD w/A-Spec Package (2.0L 4cyl Turbo 10A)"",50300,""SUV"",5,5,108.3,29.5,4024,"""","""",1500,2,272,280,""all wheel drive"",""gas"",23,""https://media.ed.edmunds-media.com/acura/rdx/2025/oem/2025_acura_rdx_4dr-suv_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""TLX"",2025,""Type S 4dr Sedan AWD (3.0L 6cyl Turbo 10A)"",57750,""Sedan"",4,5,113,13.5,4221,"""","""","""",3,355,354,""all wheel drive"",""gas"",21,""https://media.ed.edmunds-media.com/acura/tlx/2025/oem/2025_acura_tlx_sedan_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""TLX"",2025,""4dr Sedan w/Technology Package (2.0L 4cyl Turbo 10A)"",45400,""Sedan"",4,5,113,13.5,3756,"""","""","""",2,272,280,""front wheel drive"",""gas"",25,""https://media.ed.edmunds-media.com/acura/tlx/2025/oem/2025_acura_tlx_sedan_base_fq_oem_1_815.jpg"","""","""","""""
"Acura,""TLX"",2025,""4dr Sedan AWD w/A-Spec Package (2.0L 4cyl Turbo 10A)"",50400,""Sedan"",4,5,113,13.5,3990,"""","""","""",2,272,280,""all wheel drive"",""gas"",24,""https://media.ed.edmunds-media.com/acura/tlx/2025/oem/2025_acura_tlx_sedan_base_fq_oem_1_815.jpg"","""","""","""""
